"Species","Longitude","Latitude"
"Aeshna caerulea",17.20388414,67.56058027
"Aeshna caerulea",18.32311221,68.42055809
"Aeshna caerulea",14.99142663,63.01770603
"Aeshna caerulea",18.66498667,65.25382722
"Aeshna caerulea",21.62324688,65.24461404
"Aeshna caerulea",16.53586317,61.62119087
"Aeshna caerulea",12.91398641,61.57507406
"Aeshna caerulea",17.49549244,62.88374938
"Aeshna caerulea",20.1762169,67.7695265
"Aeshna caerulea",20.0668544,63.69988934
"Aeshna caerulea",13.09911689,61.44326536
"Aeshna caerulea",18.64139718,65.60411762
"Aeshna caerulea",13.27052367,62.8378947
"Aeshna caerulea",22.22667836,67.05845197
"Aeshna caerulea",17.9723936,63.97614707
"Aeshna caerulea",21.29205146,65.47326141
"Aeshna caerulea",19.48521613,65.49043709
"Aeshna caerulea",20.61582165,67.1207554
"Aeshna caerulea",17.30320506,67.66420631
"Aeshna caerulea",14.55379158,63.55282429
"Aeshna caerulea",20.98603322,65.65035161
"Aeshna caerulea",14.53244055,62.5756964
"Aeshna caerulea",18.91145724,67.84803671
"Aeshna caerulea",22.0094978,65.5266419
"Aeshna caerulea",21.57854202,64.45653307
"Aeshna caerulea",14.65511264,62.06956749
"Aeshna caerulea",18.31687733,64.40231804
"Aeshna caerulea",21.35638333,66.24727231
"Aeshna caerulea",14.73317871,60.01479608
"Aeshna caerulea",21.19920308,65.27011716
"Aeshna caerulea",22.17436856,67.71936293
"Aeshna caerulea",18.56631218,65.47773867
"Aeshna caerulea",22.73118104,67.26028563
"Aeshna caerulea",20.30612349,65.9212065
"Aeshna caerulea",12.426115,60.85045129
"Aeshna caerulea",21.48589819,65.16095354
"Aeshna caerulea",20.7453771,68.88174502
"Aeshna caerulea",21.00949992,68.8763973
"Aeshna caerulea",18.69291305,64.34681482
"Aeshna caerulea",19.11034617,65.80565188
"Aeshna caerulea",14.64810535,61.02916524
"Aeshna caerulea",14.38743158,63.87450967
"Aeshna caerulea",19.50667786,67.10890616
"Aeshna caerulea",13.95178041,61.23826431
"Aeshna caerulea",21.39962959,65.38123187
"Aeshna caerulea",23.01947818,65.79942613
"Aeshna caerulea",22.10504117,65.75310716
"Aeshna caerulea",21.79754394,65.62979353
"Aeshna caerulea",12.52188195,62.54915442
"Aeshna caerulea",17.46991218,64.86249978
"Aeshna caerulea",13.92585524,60.17104479
"Aeshna caerulea",15.5875368,60.34635081
"Aeshna caerulea",21.78954844,66.63090842
"Aeshna caerulea",19.1817235,65.39807557
"Aeshna caerulea",21.76245723,66.90436932
"Aeshna caerulea",21.64000858,66.31961172
"Aeshna caerulea",18.64523143,66.93541097
"Aeshna caerulea",16.38569251,64.63123238
"Aeshna caerulea",22.85825857,68.25832511
"Aeshna caerulea",23.48118344,67.68742361
"Aeshna caerulea",20.34618975,67.83429221
"Aeshna caerulea",22.01273992,66.40454808
"Aeshna caerulea",22.75699891,65.89749331
"Aeshna caerulea",19.21543862,65.64761947
"Aeshna caerulea",19.09057219,65.52819243
"Aeshna caerulea",14.15109833,64.92876545
"Aeshna caerulea",16.27825016,64.31008461
"Aeshna caerulea",16.47319849,64.48107446
"Aeshna caerulea",20.16392312,64.20085279
"Aeshna caerulea",12.78437936,61.11217834
"Aeshna caerulea",22.61865584,66.32667291
"Aeshna caerulea",21.24886656,67.52084052
"Aeshna caerulea",23.13719404,66.92154513
"Aeshna caerulea",21.81378692,67.64096462
"Aeshna caerulea",19.60757674,65.96216026
"Aeshna caerulea",21.65812534,67.76392325
"Aeshna caerulea",18.61350023,68.44380461
"Aeshna caerulea",19.10217719,66.82615669
"Aeshna caerulea",23.31859043,67.24155248
"Aeshna caerulea",23.17663748,67.5961976
"Aeshna caerulea",22.77289209,68.34589233
"Aeshna caerulea",23.18778989,67.72355671
"Aeshna caerulea",22.3008913,65.58099784
"Aeshna caerulea",22.88892706,67.66044594
"Aeshna caerulea",23.07449037,68.06718148
"Aeshna caerulea",21.91245533,67.52980237
"Aeshna caerulea",22.5797115,67.45946511
"Aeshna caerulea",19.75776634,65.41067313
"Aeshna caerulea",21.6718246,65.70630751
"Aeshna caerulea",23.25997437,67.90937833
"Aeshna caerulea",14.63668934,64.92260098
"Aeshna caerulea",14.95344085,59.37227345
"Aeshna caerulea",16.35607687,64.12642289
"Aeshna caerulea",19.02831776,64.45488749
"Aeshna caerulea",14.51881654,59.05231721
"Aeshna caerulea",20.97810407,67.06640446
"Aeshna caerulea",14.16556066,64.35208981
"Aeshna caerulea",19.50098458,65.7753495
"Aeshna caerulea",20.91142861,64.79699809
"Aeshna caerulea",22.69708004,65.80492224
"Aeshna caerulea",21.42140017,67.73577477
"Aeshna caerulea",18.67662834,64.57731455
"Aeshna caerulea",18.57483232,63.4758861
"Aeshna caerulea",21.69506484,65.90546836
"Aeshna caerulea",15.5965453,62.72219728
"Aeshna caerulea",23.76486374,65.56580907
"Aeshna caerulea",22.10777606,65.63849611
"Aeshna caerulea",13.11608683,61.58529323
"Aeshna caerulea",15.25070148,65.69991202
"Aeshna caerulea",16.00575975,64.14059691
"Aeshna caerulea",12.64053065,62.63158932
"Aeshna caerulea",20.37458762,67.11685658
"Aeshna caerulea",20.87043439,67.14906186
"Aeshna caerulea",15.28499533,64.63998309
"Aeshna caerulea",21.27456031,66.59851806
"Aeshna caerulea",17.07831741,64.95842417
"Aeshna caerulea",14.72476018,63.16044099
"Aeshna caerulea",14.37036667,63.51228793
"Aeshna caerulea",13.77225399,63.08349088
"Aeshna caerulea",14.33722904,65.05187008
"Aeshna caerulea",14.77222818,60.61507961
"Aeshna caerulea",14.86930456,60.16297727
"Aeshna caerulea",20.93386598,67.84573539
"Aeshna caerulea",15.11378162,59.11080612
"Aeshna caerulea",20.23732675,63.78052707
"Aeshna caerulea",19.49321038,64.57030281
"Aeshna caerulea",14.99047259,60.70930353
"Aeshna caerulea",21.15571813,67.41805115
"Aeshna caerulea",21.74678567,66.01278047
"Aeshna caerulea",20.67260158,64.02468456
"Aeshna caerulea",21.44615941,66.7566738
"Aeshna caerulea",23.77592447,65.8561155
"Aeshna caerulea",19.28096085,64.04556313
"Aeshna caerulea",14.8847995,59.84834926
"Aeshna caerulea",16.04732539,59.79147571
"Aeshna caerulea",13.01301827,63.42842074
"Aeshna caerulea",16.52498269,65.71418625
"Aeshna caerulea",17.82582397,64.61149991
"Aeshna caerulea",21.3202417,64.37160106
"Aeshna caerulea",13.15020039,61.99215104
"Aeshna caerulea",17.74327822,65.81899183
"Aeshna caerulea",20.93893791,65.74418622
"Aeshna caerulea",21.63842704,65.3531304
"Aeshna caerulea",12.71777791,62.86093684
"Aeshna caerulea",17.72058672,66.9507808
"Aeshna caerulea",21.53159124,65.47559769
"Aeshna caerulea",18.71788348,63.32602532
"Aeshna caerulea",15.13933858,65.088464
"Aeshna caerulea",20.33957484,67.93959016
"Aeshna caerulea",21.10420887,66.01207477
"Aeshna caerulea",14.72647713,58.98132759
"Aeshna caerulea",16.31801865,66.53840388
"Aeshna caerulea",17.8924284,66.03113855
"Aeshna caerulea",21.7182122,68.09331955
"Aeshna caerulea",15.51458202,59.39201142
"Aeshna caerulea",18.63936253,64.03542199
"Aeshna caerulea",15.52316912,65.03543744
"Aeshna caerulea",16.65203996,64.98274525
"Aeshna caerulea",15.16518599,63.92932339
"Aeshna caerulea",12.36886414,61.85306231
"Aeshna caerulea",13.34044853,63.08990071
"Aeshna caerulea",14.76538121,59.29728356
"Aeshna caerulea",22.06741788,65.97744071
"Aeshna caerulea",12.95926273,60.86118403
"Aeshna caerulea",16.37594693,65.85166883
"Aeshna caerulea",12.57803344,61.7310162
"Aeshna caerulea",18.22821415,67.724735
"Aeshna caerulea",14.79198394,61.37734819
"Aeshna caerulea",12.79133066,63.03852472
"Aeshna caerulea",19.5723418,64.18535952
"Aeshna caerulea",16.04768984,60.45825344
"Aeshna caerulea",15.09289797,63.12119579
"Aeshna caerulea",16.8149798,63.85917126
"Aeshna caerulea",12.57202678,63.34137728
"Aeshna caerulea",12.49581715,61.6437634
"Aeshna caerulea",13.39952473,60.498312
"Aeshna caerulea",20.31124777,66.09966539
"Aeshna caerulea",16.38909792,66.21016039
"Aeshna caerulea",14.52204024,59.17534586
"Aeshna caerulea",13.96694855,57.29137946
"Aeshna caerulea",20.6831566,67.23267371
"Aeshna caerulea",20.00942431,63.9893199
"Aeshna caerulea",20.30735228,66.21735118
"Aeshna caerulea",14.38179391,64.34966992
"Aeshna caerulea",15.2107333,61.8911032
"Aeshna caerulea",14.79142191,65.07566923
"Aeshna caerulea",15.2266301,64.99274333
"Aeshna caerulea",15.24414729,64.30596425
"Aeshna caerulea",12.55751305,62.9518316
"Aeshna caerulea",17.33787761,66.17955101
"Aeshna caerulea",21.10289151,66.41134006
"Aeshna caerulea",20.39948889,63.94700435
"Aeshna caerulea",13.21377212,63.39039326
"Aeshna caerulea",18.61622289,60.12350991
"Aeshna caerulea",17.11290216,62.81838639
