Species,Longitude,Latitude
Aeshna caerulea,18.32064984,68.43255024
Aeshna caerulea,12.33104469,63.26902357
Aeshna caerulea,12.38084077,62.96847618
Aeshna caerulea,12.33835887,63.25456688
Aeshna caerulea,21.03703688,68.45542533
Aeshna caerulea,12.36904175,63.19050401
Aeshna caerulea,13.82651403,62.75658694
Aeshna caerulea,12.38895906,60.75476555
Aeshna caerulea,18.49975155,67.3823347
Aeshna caerulea,21.04807531,68.5033495
Aeshna caerulea,18.12982889,68.43342797
Aeshna caerulea,18.60754884,68.4907194
Aeshna caerulea,18.60478008,68.46832448
Aeshna caerulea,19.78589212,67.04221666
Aeshna caerulea,20.62376198,66.43010078
Aeshna caerulea,21.08044768,64.75912545
Aeshna caerulea,19.2561378,67.86672712
Aeshna caerulea,20.56213503,66.40600795
Aeshna caerulea,20.06141692,67.9342071
Aeshna caerulea,12.25163283,62.09598716
Aeshna caerulea,16.18260914,65.95718053
Aeshna caerulea,17.47102761,65.62604446
Aeshna caerulea,17.55549833,65.65550619
Aeshna caerulea,20.85567887,66.09060968
Aeshna caerulea,15.75817412,64.70057328
Aeshna caerulea,20.36924274,67.05810949
Aeshna caerulea,21.47912932,66.2019812
Aeshna caerulea,15.33472367,56.99029117
Aeshna caerulea,15.29728911,56.8401699
Aeshna caerulea,18.63738737,68.20585309
Aeshna caerulea,12.77107472,63.71930822
Aeshna caerulea,12.56308022,63.7546493
Aeshna caerulea,18.60113157,68.24119792
Aeshna caerulea,19.83022066,68.07071284
Aeshna caerulea,22.79470954,65.88462104
Aeshna caerulea,21.92346866,66.53061303
Aeshna caerulea,19.87634002,66.7560767
Aeshna caerulea,20.9580074,68.48540312
Aeshna caerulea,20.9801661,68.47203234
Aeshna caerulea,20.93823873,68.45237676
Aeshna caerulea,18.59879826,68.45747742
Aeshna caerulea,12.34280307,63.15094014
Aeshna caerulea,12.34418932,63.13947964
Aeshna caerulea,12.05211055,63.30388383
Aeshna caerulea,12.23761897,63.06156999
Aeshna caerulea,12.08303523,63.3117958
Aeshna caerulea,18.61948477,68.4215168
Aeshna caerulea,12.63590423,60.17172488
Aeshna caerulea,12.84840428,61.87890647
Aeshna caerulea,18.91344011,67.86367623
Aeshna caerulea,18.62663712,68.50654678
Aeshna caerulea,18.14323653,68.45600046
Aeshna caerulea,18.72106923,68.36300045
Aeshna caerulea,12.47092469,63.27546617
Aeshna caerulea,12.69782236,62.05025365
Aeshna caerulea,16.51904775,66.25901337
Aeshna caerulea,16.70883905,67.30250976
Aeshna caerulea,23.48156838,66.45078777
Aeshna caerulea,13.96039652,60.94351924
Aeshna caerulea,14.59929215,60.60960055
Aeshna caerulea,19.2504441,65.19621454
Aeshna caerulea,17.45963633,62.13062322
Aeshna caerulea,12.68480678,61.63586606
Aeshna caerulea,12.18233192,62.63324206
Aeshna caerulea,12.76121277,61.59960707
Aeshna caerulea,12.67403836,61.68070559
Aeshna caerulea,21.34878398,66.28272772
Aeshna caerulea,14.586942,60.6369565
Aeshna caerulea,21.01197501,68.49523154
Aeshna caerulea,14.54255997,60.76687411
Aeshna caerulea,14.50396703,60.76398965
Aeshna caerulea,22.13546628,68.01619255
Aeshna caerulea,21.81798033,68.05137932
Aeshna caerulea,23.68245003,66.37981223
Aeshna caerulea,16.15818489,65.94102677
Aeshna caerulea,21.29778304,64.75041883
Aeshna caerulea,21.06680398,68.44667347
Aeshna caerulea,21.78249833,66.39989172
Aeshna caerulea,21.79147565,66.24419314
Aeshna caerulea,12.53817321,63.31515054
Aeshna caerulea,20.95381814,68.47131644
Aeshna caerulea,22.43604513,68.44471135
Aeshna caerulea,20.97346709,68.46090813
Aeshna caerulea,20.0473304,64.6046066
Aeshna caerulea,20.63920956,64.01820253
Aeshna caerulea,16.52927683,58.69869527
Aeshna caerulea,20.05394087,64.6293243
Aeshna caerulea,17.89970527,64.04193242
Aeshna caerulea,13.69335931,57.70581535
Aeshna caerulea,21.13575254,64.75328244
Aeshna caerulea,22.97663037,65.76485475
Aeshna caerulea,15.3866394,61.7979812
Aeshna caerulea,21.44820052,64.54798194
Aeshna caerulea,18.75168038,68.29646942
Aeshna caerulea,19.52491677,65.41787839
Aeshna caerulea,20.89044621,64.80157109
Aeshna caerulea,20.57772663,64.7650434
Aeshna caerulea,16.59437665,60.83287817
Aeshna caerulea,19.71260372,65.1894781
Aeshna caerulea,16.35418197,61.49323582
Aeshna caerulea,21.61135377,64.44128613
Aeshna caerulea,15.89339637,66.77240941
Aeshna caerulea,21.15706187,64.86071443
Aeshna caerulea,21.18484983,64.73333952
Aeshna caerulea,21.18405414,64.72095281
Aeshna caerulea,13.69595405,57.69292385
Aeshna caerulea,12.36009106,63.16761674
Aeshna caerulea,12.37610982,63.16163626
Aeshna caerulea,12.94727292,61.85900011
Aeshna caerulea,12.71642581,62.7183262
Aeshna caerulea,12.37461694,62.64751358
Aeshna caerulea,12.41274738,62.64718111
Aeshna caerulea,12.60990541,62.59596611
Aeshna caerulea,12.76421287,62.78824713
Aeshna caerulea,21.53335592,64.52434963
Aeshna caerulea,18.13657009,65.57980043
Aeshna caerulea,13.28432331,60.34504281
Aeshna caerulea,12.46949424,62.35936325
Aeshna caerulea,13.59996161,61.34733418
Aeshna caerulea,22.9881177,67.25985476
Aeshna caerulea,18.72213233,68.3327947
Aeshna caerulea,22.68308649,67.27498457
Aeshna caerulea,18.793125,68.35926607
Aeshna caerulea,19.03829851,68.35640973
Aeshna caerulea,22.58547956,67.32600714
Aeshna caerulea,12.74754221,62.7464324
Aeshna caerulea,20.18735881,66.85585127
Aeshna caerulea,19.52975663,64.26726944
Aeshna caerulea,12.46131622,62.71481487
Aeshna caerulea,12.89262696,62.69111833
Aeshna caerulea,12.94267993,62.69475252
Aeshna caerulea,11.96868018,58.57023887
Aeshna caerulea,14.32659683,65.06903305
Aeshna caerulea,17.20388414,67.56058027
Aeshna caerulea,18.32311221,68.42055809
Aeshna caerulea,12.59667797,62.34354936
Aeshna caerulea,18.75378174,68.35386828
Aeshna caerulea,21.60329131,65.42917621
Aeshna caerulea,14.99142663,63.01770603
Aeshna caerulea,15.90452707,62.66865934
Aeshna caerulea,21.50995113,65.43384143
Aeshna caerulea,18.66498667,65.25382722
Aeshna caerulea,21.62324688,65.24461404
Aeshna caerulea,23.15610648,67.24761094
Aeshna caerulea,23.25619822,67.2570415
Aeshna caerulea,16.53586317,61.62119087
Aeshna caerulea,12.91398641,61.57507406
Aeshna caerulea,12.42574428,63.25076861
Aeshna caerulea,20.40698668,67.84534734
Aeshna caerulea,18.80848124,68.35142389
Aeshna caerulea,17.49549244,62.88374938
Aeshna caerulea,12.55560449,63.32011108
Aeshna caerulea,20.1762169,67.7695265
Aeshna caerulea,12.50221187,63.31857474
Aeshna caerulea,20.0668544,63.69988934
Aeshna caerulea,21.62747705,67.69124366
Aeshna caerulea,13.09911689,61.44326536
Aeshna caerulea,12.66300225,62.65561953
Aeshna caerulea,18.64139718,65.60411762
Aeshna caerulea,13.27052367,62.8378947
Aeshna caerulea,22.22667836,67.05845197
Aeshna caerulea,17.9723936,63.97614707
Aeshna caerulea,21.29205146,65.47326141
Aeshna caerulea,19.48521613,65.49043709
Aeshna caerulea,18.76911427,68.36167002
Aeshna caerulea,20.61582165,67.1207554
Aeshna caerulea,17.30320506,67.66420631
Aeshna caerulea,14.55379158,63.55282429
Aeshna caerulea,20.98603322,65.65035161
Aeshna caerulea,14.53244055,62.5756964
Aeshna caerulea,18.66786196,68.40804869
Aeshna caerulea,12.17413712,62.60352589
Aeshna caerulea,21.35022376,66.3639009
Aeshna caerulea,21.39666374,66.3452091
Aeshna caerulea,18.91145724,67.84803671
Aeshna caerulea,22.0094978,65.5266419
Aeshna caerulea,14.23179421,63.53282039
Aeshna caerulea,21.57854202,64.45653307
Aeshna caerulea,14.65511264,62.06956749
Aeshna caerulea,18.31687733,64.40231804
Aeshna caerulea,21.35638333,66.24727231
Aeshna caerulea,14.03173488,57.74091563
Aeshna caerulea,14.73317871,60.01479608
Aeshna caerulea,21.19920308,65.27011716
Aeshna caerulea,21.35549506,65.43911776
Aeshna caerulea,22.17436856,67.71936293
Aeshna caerulea,22.76601729,65.88164325
Aeshna caerulea,18.56631218,65.47773867
Aeshna caerulea,22.73118104,67.26028563
Aeshna caerulea,20.30612349,65.9212065
Aeshna caerulea,21.30722089,67.72843385
Aeshna caerulea,12.43729664,60.90713087
Aeshna caerulea,12.8961718,62.67615832
Aeshna caerulea,12.426115,60.85045129
Aeshna caerulea,21.48589819,65.16095354
Aeshna caerulea,20.7453771,68.88174502
Aeshna caerulea,21.00949992,68.8763973
Aeshna caerulea,18.69291305,64.34681482
Aeshna caerulea,19.23394857,64.18554475
Aeshna caerulea,19.11034617,65.80565188
Aeshna caerulea,14.64810535,61.02916524
Aeshna caerulea,16.52881743,65.85500337
Aeshna caerulea,14.38743158,63.87450967
Aeshna caerulea,19.06885878,68.34371593
Aeshna caerulea,20.85790573,63.79793932
Aeshna caerulea,19.50667786,67.10890616
Aeshna caerulea,23.41049035,67.71630614
Aeshna caerulea,13.95178041,61.23826431
Aeshna caerulea,21.39962959,65.38123187
Aeshna caerulea,23.01947818,65.79942613
Aeshna caerulea,22.04030693,65.64163671
Aeshna caerulea,22.10504117,65.75310716
Aeshna caerulea,22.79202892,65.86275791
Aeshna caerulea,21.79754394,65.62979353
Aeshna caerulea,12.52188195,62.54915442
Aeshna caerulea,20.33907039,63.78905387
Aeshna caerulea,13.85651143,60.14536571
Aeshna caerulea,17.46991218,64.86249978
Aeshna caerulea,13.92585524,60.17104479
Aeshna caerulea,15.5875368,60.34635081
Aeshna caerulea,21.94138709,66.62732757
Aeshna caerulea,18.8429084,68.32783323
Aeshna caerulea,21.71868142,66.33687758
Aeshna caerulea,21.78954844,66.63090842
Aeshna caerulea,20.16934485,63.79961878
Aeshna caerulea,19.1817235,65.39807557
Aeshna caerulea,19.16311583,65.38423642
Aeshna caerulea,21.59852634,66.3188699
Aeshna caerulea,21.76245723,66.90436932
Aeshna caerulea,22.7530494,66.32172862
Aeshna caerulea,21.64000858,66.31961172
Aeshna caerulea,14.51948601,59.03308296
Aeshna caerulea,20.49208661,65.35859092
Aeshna caerulea,18.64523143,66.93541097
Aeshna caerulea,18.73716965,68.38319319
Aeshna caerulea,16.38569251,64.63123238
Aeshna caerulea,20.60568927,67.1007354
Aeshna caerulea,22.36143321,68.42154139
Aeshna caerulea,22.85825857,68.25832511
Aeshna caerulea,23.48118344,67.68742361
Aeshna caerulea,20.99999292,68.45957007
Aeshna caerulea,20.34618975,67.83429221
Aeshna caerulea,19.41844234,67.86184225
Aeshna caerulea,20.87926876,66.48320367
Aeshna caerulea,21.41254381,65.40616934
Aeshna caerulea,22.01273992,66.40454808
Aeshna caerulea,22.75699891,65.89749331
Aeshna caerulea,19.21543862,65.64761947
Aeshna caerulea,21.54066206,65.93754407
Aeshna caerulea,19.09057219,65.52819243
Aeshna caerulea,16.12783362,62.5382154
Aeshna caerulea,14.46885428,59.01055912
Aeshna caerulea,14.15109833,64.92876545
Aeshna caerulea,16.27825016,64.31008461
Aeshna caerulea,16.47319849,64.48107446
Aeshna caerulea,20.16392312,64.20085279
Aeshna caerulea,12.78437936,61.11217834
Aeshna caerulea,12.21241023,62.59157513
Aeshna caerulea,12.77652354,62.09356183
Aeshna caerulea,22.61865584,66.32667291
Aeshna caerulea,21.24886656,67.52084052
Aeshna caerulea,21.6498358,67.99571697
Aeshna caerulea,23.13719404,66.92154513
Aeshna caerulea,19.06222994,67.86160661
Aeshna caerulea,19.13166622,67.86560202
Aeshna caerulea,21.81378692,67.64096462
Aeshna caerulea,19.60757674,65.96216026
Aeshna caerulea,21.65812534,67.76392325
Aeshna caerulea,18.61350023,68.44380461
Aeshna caerulea,23.06423545,66.84347567
Aeshna caerulea,19.10217719,66.82615669
Aeshna caerulea,20.35521644,67.0794484
Aeshna caerulea,23.31859043,67.24155248
Aeshna caerulea,21.65361212,67.77338232
Aeshna caerulea,23.36980949,67.56869099
Aeshna caerulea,23.21194996,67.22383558
Aeshna caerulea,23.17663748,67.5961976
Aeshna caerulea,22.77289209,68.34589233
Aeshna caerulea,21.40178999,67.70935666
Aeshna caerulea,23.18778989,67.72355671
Aeshna caerulea,22.3008913,65.58099784
Aeshna caerulea,23.10689122,68.10060237
Aeshna caerulea,22.88892706,67.66044594
Aeshna caerulea,22.85625427,67.63351832
Aeshna caerulea,23.07449037,68.06718148
Aeshna caerulea,21.91245533,67.52980237
